Name,Period,Open,Low,High,Close,ChangeRate,PercentageChange,Date,Date_Shamsi
Gram18Ayar,Daily,1000000,1000000,1000000,1000000,30000,3%,7/22/2013,1392/04/31
Gram18Ayar,Daily,1030000,1030000,1030000,1030000,30000,3%,7/23/2013,1392/05/01
Gram18Ayar,Daily,1020000,1020000,1020000,1020000,10000,0.98%,7/24/2013,1392/05/02
Gram18Ayar,Daily,1028000,1013000,1033000,1025000,5000,0.49%,7/25/2013,1392/05/03
Gram18Ayar,Daily,1040000,1040000,1040000,1040000,15000,1.46%,7/27/2013,1392/05/05
Gram18Ayar,Daily,1030000,1030000,1030000,1030000,10000,0.97%,7/28/2013,1392/05/06
Gram18Ayar,Daily,1030000,1011000,1041000,1030000,-,-,7/29/2013,1392/05/07
Gram18Ayar,Daily,1030000,1030000,1030000,1030000,-,-,7/31/2013,1392/05/09
Gram18Ayar,Daily,1030000,1020000,1063000,1046000,16000,1.55%,8/1/2013,1392/05/10
Gram18Ayar,Daily,1040000,1040000,1040000,1040000,6000,0.58%,8/3/2013,1392/05/12
Gram18Ayar,Daily,1030000,1030000,1030000,1030000,10000,0.97%,8/4/2013,1392/05/13
Gram18Ayar,Daily,1020000,1020000,1020000,1020000,10000,0.98%,8/5/2013,1392/05/14
Gram18Ayar,Daily,1020000,1020000,1020000,1020000,-,-,8/6/2013,1392/05/15
Gram18Ayar,Daily,1030000,1030000,1030000,1030000,10000,0.98%,8/7/2013,1392/05/16
Gram18Ayar,Daily,1030000,1017000,1053000,1033000,3000,0.29%,8/8/2013,1392/05/17
Gram18Ayar,Daily,1050000,1050000,1050000,1050000,17000,1.65%,8/11/2013,1392/05/20
Gram18Ayar,Daily,1040000,1040000,1040000,1040000,10000,0.96%,8/12/2013,1392/05/21
Gram18Ayar,Daily,1040000,1040000,1040000,1040000,-,-,8/13/2013,1392/05/22
Gram18Ayar,Daily,1040000,1040000,1040000,1040000,-,-,8/14/2013,1392/05/23
Gram18Ayar,Daily,1052000,1032000,1063000,1053000,13000,1.25%,8/15/2013,1392/05/24
Gram18Ayar,Daily,1060000,1060000,1060000,1060000,7000,0.66%,8/17/2013,1392/05/26
Gram18Ayar,Daily,1060000,1060000,1060000,1060000,-,-,8/18/2013,1392/05/27
Gram18Ayar,Daily,1060000,1040000,1060000,1040000,20000,1.92%,8/19/2013,1392/05/28
Gram18Ayar,Daily,1040000,1030000,1040000,1030000,10000,0.97%,8/20/2013,1392/05/29
Gram18Ayar,Daily,1040000,1040000,1040000,1040000,10000,0.97%,8/21/2013,1392/05/30
Gram18Ayar,Daily,1040000,1018000,1057000,1042000,2000,0.19%,8/22/2013,1392/05/31
Gram18Ayar,Daily,1050000,1050000,1060000,1060000,18000,1.73%,8/24/2013,1392/06/02
Gram18Ayar,Daily,1060000,1050000,1060000,1060000,-,-,8/25/2013,1392/06/03
Gram18Ayar,Daily,1060000,1060000,1080000,1080000,20000,1.89%,8/26/2013,1392/06/04
Gram18Ayar,Daily,1130000,1120000,1150000,1140000,60000,5.56%,8/27/2013,1392/06/05
